No.,X,Y,Z,Expect,Reality,Result,Time,Staff
TT001,1,50,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT002,2,50,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT003,48,50,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT004,99,50,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT005,100,50,50,不是三角形,不是三角形,True,2017-05-12 03:24:50,Tester
TT006,50,1,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT007,50,2,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT008,50,98,50,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT009,50,100,50,不是三角形,不是三角形,True,2017-05-12 03:24:50,Tester
TT010,50,50,1,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT011,50,50,3,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT012,50,50,99,等腰三角形,等腰三角形,True,2017-05-12 03:24:50,Tester
TT013,50,50,100,不是三角形,不是三角形,True,2017-05-12 03:24:50,Tester
TT014,0,50,50,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
TT015,101,50,50,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
TT016,50,-1,50,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
TT017,50,102,50,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
TT018,50,50,-5,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
TT019,50,50,105,输入数值有误(1<=a/b/c<=100),输入数值有误(1<=a/b/c<=100),True,2017-05-12 03:24:50,Tester
